rel=cannonical	title	parent
http://www.oac.cdlib.org/findaid/ark:/13030/kt0x0nd91s	Banam (A.) collection	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf5779p12v	Bancroft Family Correspondence	ark:/13030/tf5r29p653
http://www.oac.cdlib.org/findaid/ark:/13030/tf6n39n8vm	Bancroft (Hubert H.) Papers: Additions	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/c8ft8p78	Bancroft (Hubert Howe) Papers	ark:/13030/kt8s2020gp
http://www.oac.cdlib.org/findaid/ark:/13030/kt2199r61r	Bancroft Library Manuscript Collections Guide	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/kt8k4035nt	Bancroft Library. Regional Oral History Office interview transcripts	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf0t1n98gp	Bancroft (Philip) Papers	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/tf2h4n99kc	Bancroft Reference Notes	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/kt496nb0bh	Bancroft Reference Notes for British Columbia and Alaska	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/kt0z09n4mh	Bancroft Reference Notes for California	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/tf9q2nb487	Bancroft Reference Notes for Central America	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/kt8290067g	Bancroft Reference Notes for Mexico	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/tf9r29p17z	"Bancroft reference notes for the western states, excluding California"	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/tf838nb2ck	Bandel (Eugene) Papers	ark:/13030/tf5r29p4sf
http://www.oac.cdlib.org/findaid/ark:/13030/c8n87bdb	"Bandini de Baker (Arcadia) Photographs, 1904"	ark:/13030/kt4c60381d
http://www.oac.cdlib.org/findaid/ark:/13030/tf329004g7	Bandini Family Papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt1x0nd7vj	Bandini (Franco) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt567nd8z7	Bane (Suda Lorena) galley proofs	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/c8jh3nxr	Bane (Tom) Papers	ark:/13030/tf6g5012g8
http://www.oac.cdlib.org/findaid/ark:/13030/tf3b69n71t	"Bangs (E. G.) Collection, ca. 1950-1969"	ark:/13030/tf5j49p46b
http://www.oac.cdlib.org/findaid/ark:/13030/kt2779q0rk	Bangs (John A.) collection of George Edwin Burnell and Mary Lamoreaux Burnell lectures	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt4n39q26h	Banham (Reyner) Papers	ark:/13030/kt98703819
http://www.oac.cdlib.org/findaid/ark:/13030/c8h41pwv	Bank of Orange Cash Account Book	ark:/13030/tf1p3008cx
http://www.oac.cdlib.org/findaid/ark:/13030/tf7g5005pp	Bank of Willows Records	ark:/13030/tf5r29p4tz
http://www.oac.cdlib.org/findaid/ark:/13030/c8vq33fq	Banks (Della Murray) Papers on Yukon Alaska	ark:/13030/kt8489r6nk
http://www.oac.cdlib.org/findaid/ark:/13030/kt2w1033tj	Banks (Harvey O.) Papers	ark:/13030/tf009nb42r
http://www.oac.cdlib.org/findaid/ark:/13030/kt7z09r49c	Banks (Joseph) Correspondence	ark:/13030/tf8h4nc0sw
http://www.oac.cdlib.org/findaid/ark:/13030/tf5x0nb12r	Banning Co. Collection	ark:/13030/tf209nb609
http://www.oac.cdlib.org/findaid/ark:/13030/c8m0445h	Banning Co. Records Addenda I	ark:/13030/tf209nb609
http://www.oac.cdlib.org/findaid/ark:/13030/c8dn45mf	Banning Co. Records Addenda II	ark:/13030/tf209nb609
http://www.oac.cdlib.org/findaid/ark:/13030/c8s75h4z	"Banning Collection, ca. late 19th-early 20th century"	ark:/13030/kt4c60381d
http://www.oac.cdlib.org/findaid/ark:/13030/kt838nd3t1	"Banning Family Collection of Photographs, Part I"	ark:/13030/tf6t1nb9mj
http://www.oac.cdlib.org/findaid/ark:/13030/kt7c6029xt	"Banning Family Collection of Photographs, Part II"	ark:/13030/tf6t1nb9mj
http://www.oac.cdlib.org/findaid/ark:/13030/kt6779r9df	Banning Library District Local History Collection	ark:/13030/kt7q2nf6fv
http://www.oac.cdlib.org/findaid/ark:/13030/c8d50m80	Banowsky (William S.) Papers	ark:/13030/kt8g5040dk
http://www.oac.cdlib.org/findaid/ark:/13030/kt2g5032qw	Banque de France typescript and printed report	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/c8h41t0v	Baptismal Certificate for Alvin Arlom	ark:/13030/tf9d5nc0sj
http://www.oac.cdlib.org/findaid/ark:/13030/kt0199p2w7	Baraka (Imamu A.) Papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt4m3nf0t2	Baraka (Imamu Amiri) speech	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf4t1nb3z6	Baraka (Imamu Amiri) The Baptism: a comedy in one act	ark:/13030/tf5r29p653
http://www.oac.cdlib.org/findaid/ark:/13030/c8j103zm	Baranco (Arnold Vernon) Papers	ark:/13030/kt9c6029ms
http://www.oac.cdlib.org/findaid/ark:/13030/kt4v19r76p	Baranovich (M.) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt7f59p7cp	Barantseff (George E.) Collection	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf938nb6tj	Barati (George) Papers	ark:/13030/tf5h4nb7td
http://www.oac.cdlib.org/findaid/ark:/13030/tf0q2n97jk	Baratov (N. N.) Papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt109nd6q3	Barbe (Angelika) writings	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt42903332	Barbe (Henri) typescript	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt6c6006mh	Barber (Alfred E.) Papers	ark:/13030/kt2j49q7f8
http://www.oac.cdlib.org/findaid/ark:/13030/kt8z09r8rb	Barber (Alvin B.) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf900006w5	Barber Family Papers	ark:/13030/tf5r29p4tz
http://www.oac.cdlib.org/findaid/ark:/13030/tf98701079	Barber (Leland A.) Papers	ark:/13030/tf0h4nb4sw
http://www.oac.cdlib.org/findaid/ark:/13030/kt1n39r790	Barber School of Speech scrapbook	ark:/13030/tf6t1nc15d
http://www.oac.cdlib.org/findaid/ark:/13030/kt509nf111	Barbie (Klaus) pre-trial records	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt6r29r9k9	Barbour (George B.) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt3q2nf18m	Barclay (Thomas Swain) Papers	ark:/13030/tf458010c5
